Coordinates;Coordinates.x1;Coordinates.x2;Coordinates.y1;Coordinates.y2;Coordinates.z1;Coordinates.z2;Coordinates.PositionUp;Coordinates.PositionDown;Coordinates.label;Coordinates.posUpDown;Coordinates.type;Coordinates.additionalInfos;Coordinates.View;Coordinates.ShowDimension
Klimor.WebApi.DXF.Structures.Coordinates;2700;2800;2907;3007;3701;3701;0;0;icon_filter;"Icon: SF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;2700;2800;4241;4241;1800;1900;0;0;GAD_icon_filter;"Icon: SF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;UpUp;True
Klimor.WebApi.DXF.Structures.Coordinates;3200;3300;2907;3007;-1;-1;0;0;icon_waterheater;"Icon: WH";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;3200;3300;2907;3007;3701;3701;0;0;icon_waterheater;"Icon: WH";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;3200;3300;4241;4241;1800;1900;0;0;icon_waterheater;"Icon: WH";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;UpUp;True
Klimor.WebApi.DXF.Structures.Coordinates;3950;4050;2807;2907;-1;-1;0;0;icon_watercooler;"Icon: WC";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;3950;4050;2807;2907;3701;3701;0;0;icon_watercooler;"Icon: WC";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;3950;4050;4241;4241;1800;1900;0;0;icon_watercooler;"Icon: WC";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;UpUp;True
Klimor.WebApi.DXF.Structures.Coordinates;3550;3650;2807;2907;-1;-1;0;0;icon_watercooler;"Icon: DE";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;3550;3650;2807;2907;3701;3701;0;0;icon_watercooler;"Icon: DE";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;3550;3650;4241;4241;1800;1900;0;0;icon_watercooler;"Icon: DE";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;UpUp;True
Klimor.WebApi.DXF.Structures.Coordinates;5200;5300;2907;3007;-1;-1;0;0;icon_fan;"Icon: VF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;5200;5300;2907;3007;3701;3701;0;0;icon_fan;"Icon: VF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;5200;5300;4241;4241;1800;1900;0;0;icon_fan;"Icon: VF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;UpUp;True
Klimor.WebApi.DXF.Structures.Coordinates;10070;10170;1333;1433;-1;-1;0;0;icon_filter;"Icon: PF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;10070;10170;1333;1433;3701;3701;0;0;icon_filter;"Icon: PF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;10070;10170;2206;2206;1800;1900;0;0;icon_filter;"Icon: PF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;UpUp;True
Klimor.WebApi.DXF.Structures.Coordinates;8185;8285;2000;2100;-1;-1;0;0;icon_plate;"Icon: PR";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;8185;8285;2000;2100;3701;3701;0;0;icon_plate;"Icon: PR";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;8185;8285;4241;4241;1800;1900;0;0;icon_plate;"Icon: PR";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;UpUp;True
